keyword_id,search_string,language,region,max_results,search_type,order,frequency,batch
KW0163,Locus Awards,en,US,25,video,relevance,weekly,batch_4
KW0164,Brandon Sanderson,en,US,25,video,relevance,weekly,batch_4
KW0165,Sarah J. Maas,en,US,25,video,relevance,weekly,batch_4
KW0166,Rebecca Yarros,en,US,25,video,relevance,weekly,batch_4
KW0167,T. Kingfisher,en,US,25,video,relevance,weekly,batch_4
KW0168,Martha Wells,en,US,25,video,relevance,weekly,batch_4
KW0169,Becky Chambers,en,US,25,video,relevance,weekly,batch_4
KW0170,N. K. Jemisin,en,US,25,video,relevance,weekly,batch_4
KW0171,Ursula K. Le Guin,en,US,25,video,relevance,weekly,batch_4
KW0172,Octavia Butler,en,US,25,video,relevance,weekly,batch_4
KW0173,Emily Henry,en,US,25,video,relevance,weekly,batch_4
KW0174,Taylor Jenkins Reid,en,US,25,video,relevance,weekly,batch_4
KW0175,Colleen Hoover,en,US,25,video,relevance,weekly,batch_4
KW0176,ya books,en,US,50,video,relevance,daily,batch_1
KW0177,young adult books,en,US,50,video,relevance,daily,batch_2
KW0178,ya fantasy books,en,US,50,video,relevance,daily,batch_2
KW0179,women's fiction books,en,US,50,video,relevance,daily,batch_2
KW0180,chick lit books,en,US,50,video,relevance,daily,batch_2
KW0181,classic books,en,US,50,video,relevance,daily,batch_2
KW0182,memoir books,en,US,50,video,relevance,daily,batch_1
KW0183,self help books,en,US,50,video,relevance,daily,batch_2
KW0184,latinx books,en,US,50,video,relevance,daily,batch_3
KW0185,latinx authors books,en,US,50,video,relevance,daily,batch_3
KW0186,kobo ereader,en,US,50,video,relevance,daily,batch_1
KW0187,kobo books,en,US,50,video,relevance,daily,batch_1
KW0188,kindle books,en,US,50,video,relevance,daily,batch_1
KW0189,kindle reading,en,US,50,video,relevance,daily,batch_2
KW0190,goodreads books,en,US,50,video,relevance,daily,batch_1
KW0191,storygraph,en,US,50,video,relevance,daily,batch_1
KW0192,hardcover app,en,US,50,video,relevance,daily,batch_2
KW0193,book of the month club,en,US,50,video,relevance,daily,batch_2
KW0194,currently reading books,en,US,50,video,relevance,daily,batch_1
KW0195,reading community,en,US,50,video,relevance,daily,batch_2
KW0196,tbr books,en,US,50,video,relevance,daily,batch_1
KW0197,am reading books,en,US,50,video,relevance,daily,batch_2
KW0198,now reading books,en,US,50,video,relevance,daily,batch_2
KW0199,reading goals,en,US,50,video,relevance,daily,batch_2
KW0200,book of the month,en,US,50,video,relevance,daily,batch_2
KW0201,fae fantasy books,en,US,50,video,relevance,daily,batch_1
KW0202,diverse fantasy books,en,US,50,video,relevance,daily,batch_2
KW0203,LitRPG books,en,US,50,video,date,daily,batch_2
